,by,descendants,id,kids,score,time,title,type,url,text
37,zdw,145.0,40111274,"[40111722, 40113884, 40111753, 40111703, 40112802, 40115549, 40127070, 40112613, 40111866, 40117348, 40112940, 40114846, 40111872, 40112942, 40111801, 40112438, 40112171, 40116803, 40114335, 40114682, 40125582, 40125254, 40122180, 40122164, 40121829, 40121776, 40121199, 40120984, 40120751, 40120481, 40120464, 40120415, 40120340, 40119375, 40119332, 40119304, 40119299, 40119282, 40120102, 40120087, 40125716, 40125556, 40125378, 40124320, 40124136, 40123815, 40123664, 40123661, 40122210, 40121615, 40121942, 40121932, 40120707, 40119220, 40119172, 40118531, 40118418, 40125275, 40125764, 40125433, 40125788, 40125593, 40125268, 40123471, 40122416, 40122289, 40122041, 40122217, 40121968, 40121761, 40126195, 40126062, 40126053, 40125971, 40122581, 40122547, 40122480, 40126242, 40126331, 40126823, 40122699, 40122735, 40121631, 40124329, 40124552, 40125064, 40126578, 40126633, 40126570, 40124357, 40124659, 40126714, 40126607, 40118294, 40118351, 40118432, 40118548, 40118555, 40118574, 40118654, 40118681, 40118703, 40122674, 40118791, 40118917, 40119026, 40119061, 40119149, 40120709, 40124452, 40118367, 40123926, 40118629, 40118706, 40118732, 40125144, 40123584, 40124024, 40124525, 40124714, 40125076, 40124536, 40124834, 40120899, 40123863, 40123868, 40123950, 40124653, 40125104, 40118481, 40119144, 40118755, 40119111, 40123798, 40124073, 40124114, 40124143, 40125209]",489,1713757908,Inside the Super Nintendo cartridges,story,https://fabiensanglard.net/snes_carts/index.html,
38,dnetesn,44.0,40111479,"[40119453, 40120848, 40120314, 40119960, 40119921, 40121293, 40128557, 40123088, 40120961, 40127089, 40127063, 40126938, 40125810, 40121572, 40121551, 40121911, 40121894, 40121793, 40121181, 40120989, 40120748, 40120083, 40120413, 40125578, 40125723, 40125447, 40123902, 40122142, 40122095, 40121821, 40122055, 40121925, 40121795, 40120954, 40120895, 40120890, 40120879, 40120724, 40120467, 40120381, 40125414, 40125700, 40122156, 40121964, 40122139, 40125939, 40122539, 40122495, 40121307, 40122595, 40122611, 40122664, 40122709, 40122788, 40122810, 40126361, 40126465, 40126091, 40126369, 40126414, 40126452, 40126008, 40126312, 40126709, 40126492, 40126635, 40126734, 40123556, 40123655, 40124641, 40124835, 40124878, 40126245, 40126236, 40123526, 40123553, 40123586, 40126702, 40123752, 40124018, 40121585, 40124075, 40124730, 40124766, 40124765, 40124901, 40121137, 40123630, 40123732, 40123853, 40124566, 40124581, 40126725, 40124588, 40124742, 40124071, 40124863, 40123944, 40123742]",98,1713761240,It's OK to feed wild birds – here are some tips for doing it the right way,story,https://worldsensorium.com/its-ok-to-feed-wild-birds-here-are-some-tips-for-doing-it-the-right-way/,
39,v9v,91.0,40115083,"[40118194, 40116929, 40115459, 40128447, 40121591, 40115713, 40115425, 40125674, 40121536, 40120569, 40120394, 40120383, 40119331, 40119275, 40119268, 40119237, 40120091, 40125804, 40125814, 40125360, 40125213, 40122243, 40121160, 40120889, 40120665, 40119194, 40119192, 40119176, 40125519, 40125503, 40124523, 40125720, 40125661, 40125567, 40122410, 40122301, 40122237, 40122143, 40122492, 40122471, 40122866, 40121388, 40122626, 40122634, 40126127, 40126425, 40126040, 40126265, 40126674, 40126663, 40122594, 40122646, 40126742, 40121513, 40123686, 40123779, 40123794, 40124310, 40123997, 40124214, 40118402, 40118408, 40118849, 40120679, 40118315, 40118417, 40118544, 40118633, 40118680, 40118739, 40119047, 40125124, 40124501, 40125084, 40125137, 40125322, 40118411, 40124950, 40124408, 40124855, 40124092, 40124986, 40119043, 40124420, 40124256, 40124797, 40125133, 40125163, 40125150]",121,1713798119,An Exploration of SBCL Internals (2020),story,https://simonsafar.com/2020/sbcl/,
40,chl,31.0,40114403,"[40128784, 40120316, 40117504, 40124668, 40117762, 40120614, 40117214, 40117636, 40127764, 40126934, 40128303, 40125481, 40125480, 40125462, 40125295, 40121549, 40121963, 40121892, 40121816, 40121750, 40121005, 40120675, 40120137, 40120105, 40120593, 40120480, 40120470, 40120466, 40120389, 40120377, 40120360, 40119353, 40119344, 40119270, 40119236, 40120121, 40120088, 40125635, 40121547, 40122148, 40121114, 40120412, 40120331, 40119203, 40119164, 40119062, 40125719, 40125186, 40123905, 40125419, 40123936, 40123904, 40123864, 40122447, 40122373, 40122413, 40122398, 40122397, 40122311, 40122310, 40122093, 40122283, 40122062, 40121698, 40121849, 40126023, 40125952, 40122538, 40122513, 40122590, 40126079, 40126126, 40126203, 40126371, 40126488, 40126527, 40126373, 40126683, 40126819, 40125930, 40122875, 40126071, 40122814, 40122834, 40122794, 40124811, 40122654, 40124900, 40124980, 40124939, 40126720, 40126731, 40122717, 40122806, 40124226, 40124887, 40124436, 40118401, 40118405, 40118407, 40118416, 40118431, 40118440, 40118461, 40118502, 40118811, 40119012, 40126723, 40118336, 40118520, 40118597, 40118754, 40118800, 40118835, 40118889, 40119098, 40123598, 40123620, 40124016, 40124485, 40124225, 40124757, 40124778, 40120708, 40125266, 40125274, 40125296, 40118275, 40119068, 40124486, 40125068, 40118329, 40123938, 40124657, 40124746, 40128299]",127,1713794053,Espressif Acquires Majority Stake in M5Stack,story,https://www.espressif.com/en/news/Espressif_Acquires_M5Stack,
41,lowercasename,50.0,40112958,"[40129925, 40113131, 40127712, 40121372, 40113574, 40114033, 40113317, 40113620, 40113281, 40114556, 40125767, 40125736, 40122077, 40121652, 40121081, 40120711, 40120566, 40120527, 40120421, 40119312, 40119269, 40119264, 40119244, 40120093, 40123511, 40125610, 40125479, 40125392, 40125807, 40123749, 40123743, 40123579, 40123564, 40122236, 40122187, 40121685, 40114178, 40120962, 40120701, 40120541, 40120521, 40120400, 40120600, 40120405, 40119207, 40119206, 40119205, 40118801, 40125339, 40125488, 40125600, 40125370, 40125191, 40123721, 40122448, 40122408, 40122356, 40121997, 40121810, 40121955, 40121900, 40121859, 40113327, 40125919, 40122883, 40126512, 40126234, 40126760, 40126806, 40125911, 40126508, 40126610, 40126200, 40126261, 40126797, 40125958, 40126434, 40126258, 40122663, 40122805, 40122839, 40122858, 40121633, 40123679, 40124424, 40124001, 40124781, 40125055, 40125062, 40125271, 40121523, 40124245, 40118353, 40118370, 40118376, 40118453, 40118471, 40118485, 40118494, 40118519, 40118525, 40118602, 40118610, 40118615, 40118612, 40118678, 40118761, 40118824, 40118861, 40124014, 40118345, 40124640, 40118556, 40118715, 40118907, 40119019, 40119023, 40119084, 40125015, 40123709, 40124140, 40124433, 40124969, 40124212, 40125281, 40118314, 40120107, 40124731, 40125108, 40124177, 40124249, 40124222, 40124515, 40124705, 40124743, 40124961, 40124488, 40124011, 40124107, 40124283, 40124412, 40114859]",244,1713781580,"Show HN: OpenOrb, a curated search engine for Atom and RSS feeds",story,https://openorb.idiot.sh/search,"Alternative search engines are neat, as are RSS feeds. OpenOrb is a self-hosted app which allows visitors to search over a list of blogs you love. If you put your 10 favourite blogs in there, it&#x27;ll search just those blogs and not show you any sponsored content or machine-generated garbage (unless... you follow blogs written by machines?)<p>Personal RSS feed readers can usually do this sort of thing, but RSS readers aren’t meant to be shared, so you can think of the search engine as a &#x27;curated feed list as a public service&#x27;.<p>I wrote a longer blog post about OpenOrb here: <a href=""https:&#x2F;&#x2F;raphael.computer&#x2F;blog&#x2F;openorb-curated-search-engine&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;raphael.computer&#x2F;blog&#x2F;openorb-curated-search-engine&#x2F;</a>"
42,throwaway888abc,28.0,40127106,"[40127475, 40127666, 40128076, 40127859, 40127901, 40127117, 40127480, 40127634, 40127367]",80,1713831489,Ex-Amazon exec claims she was asked to ignore copyright law in race to AI,story,https://www.theregister.com/2024/04/22/ghaderi_v_amazon/,
43,QueensGambit,4.0,40122919,"[40129668, 40128597, 40129141]",7,1713823796,Generate code for declarative language instead of programming language,story,https://near.tl/developer-forever/forum/announcement/generate-code-for-declarative-language-instead-of-.anc-17ee9632-adef-49b3-b320-c4e0b82c8d8a.html,
44,alexdanilowicz,0.0,40128384,,23,1713845177,"Linus Torvalds, the famous embroidery file converter developer",story,http://torvalds-family.blogspot.com/2010/01/embroidery-gaah.html,
45,SkyMarshal,8.0,40124682,"[40127663, 40127432, 40128484, 40126994, 40127777, 40127105, 40127608, 40125523, 40125237, 40125776, 40125526, 40125361, 40125242, 40125765, 40125729, 40125662, 40126113, 40126182, 40126163, 40125912, 40126051, 40126036, 40125957, 40126253, 40126356, 40126238, 40126385, 40126332, 40126349, 40126432, 40126393, 40126511, 40126580, 40126574, 40125301, 40125126, 40125235]",40,1713827099,Cubic Life: Conway's Game of Life in 3D,story,https://github.com/ms0g/cubicLife,
46,miguelazo,12.0,40128003,"[40128835, 40128533, 40129735]",17,1713841314,The reason PG&E rates are skyrocketing in California,story,https://www.sfchronicle.com/opinion/openforum/article/california-electric-bills-news-puc-19410274.php,
